time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],phase
4.763,4.763,0.07382088154554367,0.20020436211290848,0.2282112310554964,0.25725928254548686,e
4.764,4.764,-0.13379690051078796,0.6098316551928307,0.2323281559444726,0.2598801408291041,e
4.765,4.765,-1.5199984312057495,0.3104016597352648,0.23551294589521438,0.26611650812600934,e
4.766,4.766,-0.973056972026825,0.5624207577229754,0.22143405616084105,0.2581012142051509,e
4.767,4.767,-0.29730939865112305,0.7114086283305351,0.20996069674169102,0.23662684164898404,e
4.768,4.768,0.04680817574262619,0.8127023434145932,0.21413932604260302,0.24089051132702302,e
4.769,4.769,0.48280301690101624,0.6843977340063001,0.22034721460742548,0.2504875295635359,e
4.77,4.77,0.7715402245521545,0.5267772629755361,0.22209559226855918,0.2567930896075636,e
4.771,4.771,-0.1917894035577774,0.4264482985745361,0.2244970317213126,0.25546957253071756,e
4.772,4.772,-0.7319362163543701,0.42528911956389376,0.22260007363723003,0.2544061780584733,e
4.773,4.773,-0.2411508560180664,0.16420265084214866,0.22207474677861638,0.25714648872922363,e
4.774,4.774,0.2127804011106491,0.30506083451217086,0.21671802229934897,0.2596000850172765,e
4.775,4.775,-0.1986100822687149,0.4026097360268462,0.22024216578598446,0.25645707179612487,e
4.776,4.776,-0.3710113763809204,0.3240653791503439,0.23279096715871972,0.26862637880751294,e
4.777,4.777,0.6348287463188171,0.40404301301414164,0.24732975483358915,0.2790055661180282,e
4.778,4.778,1.1619558334350586,0.16324077099900625,0.2379975254164104,0.2784779985653389,e
4.779,4.779,0.989250659942627,0.12218400523990589,0.2303499656788216,0.2696332207622416,e
4.78,4.78,0.77956622838974,0.18127434592032604,0.2274561412795628,0.26100998389594016,e
4.781,4.781,0.5882002115249634,0.2372473118527236,0.2247094660832866,0.2647964135447875,e
4.782,4.782,0.13895411789417267,0.4142884092560854,0.22836829500692526,0.2617214745859757,e
4.783,4.783,0.03932098299264908,0.5635854682469618,0.23214503471472292,0.26052232120573626,e
4.784,4.784,0.1789962649345398,0.492607750680667,0.23527994691780393,0.26163604431459797,e
4.785,4.785,-0.34433087706565857,0.3382900804082273,0.23707804743089794,0.2611388140252911,e
4.786,4.786,-0.22337141633033752,0.653578689379319,0.22388868835874953,0.2521021834560855,e
4.787,4.787,0.6704055666923523,0.4329446941159762,0.21098421842938114,0.23712839260382382,e
4.788,4.788,3.902207851409912,0.32188766292373777,0.21212562865815757,0.2449265431014181,e
4.789,4.789,7.244081020355225,0.05120061301833604,0.2182829611166759,0.24501682251039938,e
4.79,4.79,10.364846229553223,0.005974721489549348,0.22404604763055735,0.25548058883548386,e
4.791,4.791,13.172317504882812,-0.06519190278136869,0.22677185959465573,0.25755862864498547,e
4.792,4.792,16.108325958251953,0.09648278313991603,0.22530306509557685,0.2563868734843338,e
4.793,4.793,18.91511344909668,0.11744561800551882,0.22335387664206882,0.2623176248899614,e
4.794,4.794,20.59841537475586,-0.27654621540163876,0.2194734669613064,0.2557515852609463,e
4.795,4.795,21.839588165283203,-0.08554505858850155,0.22142780345248125,0.2552141826941478,e
4.796,4.796,21.883447647094727,0.07084777102395448,0.23443526745768564,0.26622784579245423,e
